54 0 0 2 10 13 7 4 3 9 15 5 11 12 6 14 8
63 0 0 2 10 13 7 4 3 12 15 5 11 9 6 14 8
64 0 1 13 10 2 7 4 3 12 15 5 11 9 6 14 8
57 0 2 13 11 2 7 4 3 12 15 5 10 9 6 14 8
56 0 3 13 11 2 4 7 3 12 15 5 10 9 6 14 8
61 0 4 13 11 2 5 7 3 12 15 4 10 9 6 14 8
55 0 5 13 11 2 5 7 3 4 15 12 10 9 6 14 8
46 0 6 13 11 14 5 7 3 4 15 12 10 9 6 2 8
41 0 7 13 11 14 5 3 7 4 15 12 10 9 6 2 8
47 0 8 13 11 14 6 3 7 4 15 12 10 9 5 2 8
49 0 9 13 11 14 6 3 7 4 15 12 5 9 10 2 8
55 0 10 11 13 14 6 3 7 4 15 12 5 9 10 2 8
56 0 11 9 13 14 6 3 7 4 15 12 5 11 10 2 8
47 0 12 9 5 14 6 3 7 4 15 12 13 11 10 2 8
43 0 13 9 5 14 6 3 7 4 15 12 11 13 10 2 8
44 0 14 9 13 14 6 3 7 4 15 12 11 5 10 2 8
48 0 15 9 13 2 6 3 7 4 15 12 11 5 10 14 8
53 0 16 9 13 2 6 3 7 4 10 12 11 5 15 14 8
62 0 17 9 4 2 6 3 7 13 10 12 11 5 15 14 8
54 0 18 9 4 2 6 8 7 13 10 12 11 5 15 14 3
42 0 19 9 4 2 6 8 7 5 10 12 11 13 15 14 3
48 0 20 9 12 2 6 8 7 5 10 4 11 13 15 14 3
42 0 21 15 12 2 6 8 7 5 10 4 11 13 9 14 3
38 0 22 15 12 2 6 8 7 5 10 9 11 13 4 14 3
36 0 23 15 6 2 12 8 7 5 10 9 11 13 4 14 3
41 0 24 15 6 9 12 8 7 5 10 2 11 13 4 14 3
51 0 25 15 6 9 12 8 7 5 10 2 11 13 14 4 3
58 0 26 15 6 9 12 8 7 14 10 2 11 13 5 4 3
60 0 27 15 6 9 10 8 7 14 12 2 11 13 5 4 3
65 0 28 14 6 9 10 8 7 15 12 2 11 13 5 4 3
75 0 29 14 6 9 10 8 7 11 12 2 15 13 5 4 3
73 0 30 14 6 9 10 8 7 11 15 2 12 13 5 4 3
73 0 31 14 6 9 10 8 7 12 15 2 11 13 5 4 3
73 0 32 14 6 9 4 8 7 12 15 2 11 13 5 10 3
71 0 33 14 7 9 4 8 6 12 15 2 11 13 5 10 3
66 0 34 14 7 9 4 8 6 12 15 2 13 11 5 10 3
60 0 35 14 7 9 4 6 8 12 15 2 13 11 5 10 3
69 0 36 14 7 9 4 6 8 12 15 2 13 11 3 10 5
61 0 37 14 7 15 4 6 8 12 9 2 13 11 3 10 5
68 0 38 12 7 15 4 6 8 14 9 2 13 11 3 10 5
67 0 39 12 7 15 8 6 4 14 9 2 13 11 3 10 5
57 0 40 12 7 15 3 6 4 14 9 2 13 11 8 10 5
66 0 41 12 7 15 3 6 8 14 9 2 13 11 4 10 5
59 0 42 12 4 15 3 6 8 14 9 2 13 11 7 10 5
56 0 43 7 4 15 3 6 8 14 9 2 13 11 12 10 5
55 0 44 7 4 15 9 6 8 14 3 2 13 11 12 10 5
52 0 45 7 4 15 9 11 8 14 3 2 13 6 12 10 5
53 0 46 2 4 15 9 11 8 14 3 7 13 6 12 10 5
51 0 47 2 4 15 9 11 8 14 3 7 13 6 5 10 12
57 0 48 2 4 10 9 11 8 14 3 7 13 6 5 15 12
54 0 49 2 4 10 9 11 8 14 3 7 6 13 5 15 12
50 0 50 2 4 3 9 11 8 14 10 7 6 13 5 15 12
52 0 51 2 15 3 9 11 8 14 10 7 6 13 5 4 12
62 0 52 2 15 3 9 11 8 14 10 6 7 13 5 4 12
49 0 53 2 15 3 9 11 8 14 13 6 7 10 5 4 12
46 0 54 14 15 3 9 11 8 2 13 6 7 10 5 4 12
53 0 55 14 15 4 9 11 8 2 13 6 7 10 5 3 12
69 0 56 14 15 4 9 11 8 2 5 6 7 10 13 3 12
76 0 57 14 15 2 9 11 8 4 5 6 7 10 13 3 12
62 0 58 14 15 5 9 11 8 4 2 6 7 10 13 3 12
74 0 59 14 15 5 9 11 8 4 2 12 7 10 13 3 6
75 0 60 14 15 5 7 11 8 4 2 12 9 10 13 3 6
