0 -3999.463636
1 -8146.269725
2 -8734.235959
3 -8734.235959
4 -8734.235959
5 -8734.235959
6 -9133.488735
7 -9133.488735
8 -9133.488735
9 -9133.488735
10 -9133.488735
11 -9432.928317
12 -9432.928317
13 -9819.704444
14 -9819.704444
15 -9819.704444
16 -9819.704444
17 -9819.704444
18 -9819.704444
19 -9819.704444
20 -9819.704444
21 -9819.704444
22 -9931.994287
23 -9931.994287
24 -9931.994287
25 -10056.760779
26 -10056.760779
27 -10056.760779
28 -10056.760779
29 -10056.760779
30 -10056.760779
31 -10056.760779
32 -10056.760779
33 -10056.760779
34 -10056.760779
35 -10056.760779
36 -10056.760779
37 -10056.760779
38 -10056.760779
39 -10056.760779
40 -10056.760779
41 -10056.760779
42 -10056.760779
43 -10056.760779
44 -10056.760779
45 -10056.760779
46 -10056.760779
47 -10056.760779
48 -10056.760779
49 -10056.760779
50 -10056.760779
51 -10056.760779
52 -10056.760779
53 -10056.760779
54 -10056.760779
55 -10056.760779
56 -10056.760779
